location_1,location_2,fips
Georgia,Appling County,13001
Georgia,Atkinson County,13003
Georgia,Bacon County,13005
Georgia,Baker County,13007
Georgia,Baldwin County,13009
Georgia,Banks County,13011
Georgia,Barrow County,13013
Georgia,Bartow County,13015
Georgia,Ben Hill County,13017
Georgia,Berrien County,13019
Georgia,Bibb County,13021
Georgia,Bleckley County,13023
Georgia,Brantley County,13025
Georgia,Brooks County,13027
Georgia,Bryan County,13029
Georgia,Bulloch County,13031
Georgia,Burke County,13033
Georgia,Butts County,13035
Georgia,Calhoun County,13037
Georgia,Camden County,13039
Georgia,Candler County,13043
Georgia,Carroll County,13045
Georgia,Catoosa County,13047
Georgia,Charlton County,13049
Georgia,Chatham County,13051
Georgia,Chattahoochee County,13053
Georgia,Chattooga County,13055
Georgia,Cherokee County,13057
Georgia,Clarke County,13059
Georgia,Clay County,13061
Georgia,Clayton County,13063
Georgia,Clinch County,13065
Georgia,Cobb County,13067
Georgia,Coffee County,13069
Georgia,Colquitt County,13071
Georgia,Columbia County,13073
Georgia,Cook County,13075
Georgia,Coweta County,13077
Georgia,Crawford County,13079
Georgia,Crisp County,13081
Georgia,Dade County,13083
Georgia,Dawson County,13085
Georgia,Decatur County,13087
Georgia,DeKalb County,13089
Georgia,Dodge County,13091
Georgia,Dooly County,13093
Georgia,Dougherty County,13095
Georgia,Douglas County,13097
Georgia,Early County,13099
Georgia,Echols County,13101
Georgia,Effingham County,13103
Georgia,Elbert County,13105
Georgia,Emanuel County,13107
Georgia,Evans County,13109
Georgia,Fannin County,13111
Georgia,Fayette County,13113
Georgia,Floyd County,13115
Georgia,Forsyth County,13117
Georgia,Franklin County,13119
Georgia,Gilmer County,13123
Georgia,Glascock County,13125
Georgia,Glynn County,13127
Georgia,Gordon County,13129
Georgia,Grady County,13131
Georgia,Greene County,13133
Georgia,Gwinnett County,13135
Georgia,Habersham County,13137
Georgia,Hall County,13139
Georgia,Hancock County,13141
Georgia,Haralson County,13143
Georgia,Harris County,13145
Georgia,Hart County,13147
Georgia,Heard County,13149
Georgia,Henry County,13151
Georgia,Houston County,13153
Georgia,Irwin County,13155
Georgia,Jackson County,13157
Georgia,Jasper County,13159
Georgia,Jeff Davis County,13161
Georgia,Jefferson County,13163
Georgia,Jenkins County,13165
Georgia,Johnson County,13167
Georgia,Jones County,13169
Georgia,Lamar County,13171
Georgia,Lanier County,13173
Georgia,Laurens County,13175
Georgia,Lee County,13177
Georgia,Liberty County,13179
Georgia,Lincoln County,13181
Georgia,Long County,13183
Georgia,Lowndes County,13185
Georgia,Lumpkin County,13187
Georgia,Macon County,13193
Georgia,Madison County,13195
Georgia,Marion County,13197
Georgia,McDuffie County,13189
Georgia,McIntosh County,13191
Georgia,Meriwether County,13199
Georgia,Miller County,13201
Georgia,Mitchell County,13205
Georgia,Monroe County,13207
Georgia,Montgomery County,13209
Georgia,Morgan County,13211
Georgia,Murray County,13213
Georgia,Muscogee County,13215
Georgia,Newton County,13217
Georgia,Oconee County,13219
Georgia,Oglethorpe County,13221
Georgia,Paulding County,13223
Georgia,Peach County,13225
Georgia,Pickens County,13227
Georgia,Pierce County,13229
Georgia,Pike County,13231
Georgia,Polk County,13233
Georgia,Pulaski County,13235
Georgia,Putnam County,13237
Georgia,Quitman County,13239
Georgia,Rabun County,13241
Georgia,Randolph County,13243
Georgia,Richmond County,13245
Georgia,Rockdale County,13247
Georgia,Schley County,13249
Georgia,Screven County,13251
Georgia,Seminole County,13253
Georgia,Spalding County,13255
Georgia,Stephens County,13257
Georgia,Stewart County,13259
Georgia,Sumter County,13261
Georgia,Talbot County,13263
Georgia,Taliaferro County,13265
Georgia,Tattnall County,13267
Georgia,Taylor County,13269
Georgia,Telfair County,13271
Georgia,Terrell County,13273
Georgia,Thomas County,13275
Georgia,Tift County,13277
Georgia,Toombs County,13279
Georgia,Towns County,13281
Georgia,Treutlen County,13283
Georgia,Troup County,13285
Georgia,Turner County,13287
Georgia,Twiggs County,13289
Georgia,Union County,13291
Georgia,Upson County,13293
Georgia,Walker County,13295
Georgia,Walton County,13297
Georgia,Ware County,13299
Georgia,Warren County,13301
Georgia,Washington County,13303
Georgia,Wayne County,13305
Georgia,Webster County,13307
Georgia,Wheeler County,13309
Georgia,White County,13311
Georgia,Whitfield County,13313
Georgia,Wilcox County,13315
Georgia,Wilkes County,13317
Georgia,Wilkinson County,13319
Georgia,Worth County,13321
