location_1,location_2,fips
Alabama,Crenshaw County,01041
Alabama,Jefferson County,01073
Alabama,Jefferson County,01073
Alabama,Madison County,01089
Alabama,Madison County,01089
Alabama,Tuscaloosa County,01125
Alaska,Aleutians East Borough,02013
Alaska,Aleutians West Census Area,02016
Alaska,Anchorage Municipality,02020
Alaska,Anchorage Municipality,02020
Arizona,Coconino County,04005
Arizona,Gila County,04007
Arizona,Maricopa County,04013
Arizona,Maricopa County,04013
Arizona,Maricopa County,04013
Arizona,Maricopa County,04013
Arizona,Maricopa County,04013
Arizona,Maricopa County,04013
Arizona,Maricopa County,04013
Arizona,Maricopa County,04013
Arizona,Maricopa County,04013
Arizona,Maricopa County,04013
Arizona,Maricopa County,04013
Arizona,Maricopa County,04013
Arizona,Maricopa County,04013
Arizona,Maricopa County,04013
Arizona,Maricopa County,04013
Arizona,Maricopa County,04013
Arizona,Maricopa County,04013
Arizona,Mohave County,04015
Arizona,Pima County,04019
Arizona,Pima County,04019
Arizona,Pima County,04019
Arizona,Pima County,04019
Arizona,Yavapai County,04025
Arizona,Yuma County,04027
Arkansas,Ashley County,05003
Arkansas,Bradley County,05011
Arkansas,Polk County,05113
Arkansas,Pulaski County,05119
California,Alameda County,06001
California,Alameda County,06001
California,Alameda County,06001
California,Alameda County,06001
California,Alameda County,06001
California,Alameda County,06001
California,Alameda County,06001
California,Alameda County,06001
California,Alameda County,06001
California,Alameda County,06001
California,Alameda County,06001
California,Alameda County,06001
California,Alameda County,06001
California,Alameda County,06001
California,Alameda County,06001
California,Alameda County,06001
California,Alameda County,06001
California,Alameda County,06001
California,Alameda County,06001
California,Alameda County,06001
California,Alameda County,06001
California,Alameda County,06001
California,Alameda County,06001
California,Alameda County,06001
California,Alameda County,06001
California,Alameda County,06001
California,Alameda County,06001
California,Alameda County,06001
California,Alameda County,06001
California,Alameda County,06001
California,Alameda County,06001
California,Alameda County,06001
California,Amador County,06005
California,Colusa County,06011
California,Contra Costa County,06013
California,Contra Costa County,06013
California,Contra Costa County,06013
California,Contra Costa County,06013
California,Contra Costa County,06013
California,Contra Costa County,06013
California,Contra Costa County,06013
California,Contra Costa County,06013
California,Contra Costa County,06013
California,Contra Costa County,06013
California,Contra Costa County,06013
California,Contra Costa County,06013
California,Fresno County,06019
California,Humboldt County,06023
California,Humboldt County,06023
California,Humboldt County,06023
California,Humboldt County,06023
California,Humboldt County,06023
California,Humboldt County,06023
California,Humboldt County,06023
California,Humboldt County,06023
California,Humboldt County,06023
California,Los Angeles County,06037
California,Los Angeles County,06037
California,Los Angeles County,06037
California,Los Angeles County,06037
California,Los Angeles County,06037
California,Los Angeles County,06037
California,Los Angeles County,06037
California,Los Angeles County,06037
California,Los Angeles County,06037
California,Los Angeles County,06037
California,Los Angeles County,06037
California,Los Angeles County,06037
California,Los Angeles County,06037
California,Los Angeles County,06037
California,Los Angeles County,06037
California,Los Angeles County,06037
California,Los Angeles County,06037
California,Los Angeles County,06037
California,Los Angeles County,06037
California,Los Angeles County,06037
California,Los Angeles County,06037
California,Los Angeles County,06037
California,Los Angeles County,06037
California,Los Angeles County,06037
California,Los Angeles County,06037
California,Los Angeles County,06037
California,Los Angeles County,06037
California,Los Angeles County,06037
California,Los Angeles County,06037
California,Los Angeles County,06037
California,Los Angeles County,06037
California,Los Angeles County,06037
California,Los Angeles County,06037
California,Los Angeles County,06037
California,Los Angeles County,06037
California,Los Angeles County,06037
California,Los Angeles County,06037
California,Los Angeles County,06037
California,Los Angeles County,06037
California,Los Angeles County,06037
California,Los Angeles County,06037
California,Los Angeles County,06037
California,Los Angeles County,06037
California,Marin County,06041
California,Marin County,06041
California,Marin County,06041
California,Marin County,06041
California,Mendocino County,06045
California,Merced County,06047
California,Monterey County,06053
California,Napa County,06055
California,Napa County,06055
California,Orange County,06059
California,Orange County,06059
California,Orange County,06059
California,Orange County,06059
California,Orange County,06059
California,Orange County,06059
California,Orange County,06059
California,Orange County,06059
California,Orange County,06059
California,Orange County,06059
California,Orange County,06059
California,Orange County,06059
California,Orange County,06059
California,Orange County,06059
California,Orange County,06059
California,Orange County,06059
California,Orange County,06059
California,Orange County,06059
California,Orange County,06059
California,Orange County,06059
California,Orange County,06059
California,Orange County,06059
California,Orange County,06059
California,Orange County,06059
California,Orange County,06059
California,Orange County,06059
California,Orange County,06059
California,Orange County,06059
California,Orange County,06059
California,Orange County,06059
California,Orange County,06059
California,Orange County,06059
California,Orange County,06059
California,Orange County,06059
California,Orange County,06059
California,Orange County,06059
California,Orange County,06059
California,Orange County,06059
California,Orange County,06059
California,Orange County,06059
California,Orange County,06059
California,Orange County,06059
California,Orange County,06059
California,Orange County,06059
California,Orange County,06059
California,Placer County,06061
California,Riverside County,06065
California,Riverside County,06065
California,Riverside County,06065
California,Riverside County,06065
California,Riverside County,06065
California,Riverside County,06065
California,Riverside County,06065
California,Riverside County,06065
California,Riverside County,06065
California,Riverside County,06065
California,Sacramento County,06067
California,Sacramento County,06067
California,Sacramento County,06067
California,Sacramento County,06067
California,Sacramento County,06067
California,Sacramento County,06067
California,Sacramento County,06067
California,Sacramento County,06067
California,San Benito County,06069
California,San Bernardino County,06071
California,San Bernardino County,06071
California,San Bernardino County,06071
California,San Bernardino County,06071
